id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
bedrock/ai21.jamba-1-5-large-v1:0,jamba-1-5-large,AI21 Jamba 1.5 Large,C,2.00,8.00,-,256000,4096,TJ,verified,bedrock,2026-01-04,AI21 large hybrid SSM-Transformer model,-,-,-
bedrock/ai21.jamba-1-5-mini-v1:0,jamba-1-5-mini,AI21 Jamba 1.5 Mini,C,0.20,0.40,-,256000,4096,TJ,verified,bedrock,2026-01-04,AI21 efficient hybrid model,-,-,-
bedrock/ai21.jamba-instruct-v1:0,jamba-instruct,AI21 Jamba Instruct,C,0.50,0.70,-,256000,4096,TJ,verified,bedrock,2026-01-04,AI21 instruction-tuned Jamba,-,-,-
bedrock/ai21.j2-ultra-v1,jurassic-2-ultra,AI21 Jurassic-2 Ultra,L,18.80,18.80,-,8191,8191,-,verified,bedrock,2026-01-04,Legacy AI21 flagship model,-,-,-
bedrock/ai21.j2-mid-v1,jurassic-2-mid,AI21 Jurassic-2 Mid,L,12.50,12.50,-,8191,8191,-,verified,bedrock,2026-01-04,Legacy AI21 mid-tier model,-,-,-
bedrock/amazon.nova-pro-v1:0,nova-pro,Amazon Nova Pro,C,0.80,3.20,-,300000,5000,SVTJ,verified,bedrock,2026-01-04,Advanced multimodal understanding and generation,-,-,-
bedrock/amazon.nova-lite-v1:0,nova-lite,Amazon Nova Lite,C,0.06,0.24,-,300000,5000,SVTJ,verified,bedrock,2026-01-04,Fast and cost-effective multimodal,-,-,-
bedrock/amazon.nova-micro-v1:0,nova-micro,Amazon Nova Micro,C,0.035,0.14,-,128000,5000,TJ,verified,bedrock,2026-01-04,Text-only fastest and lowest cost,-,-,-
bedrock/amazon.nova-premier-v1:0,nova-premier,Amazon Nova Premier,C,2.50,10.00,-,1000000,5000,SVTJK,verified,bedrock,2026-01-04,Most capable Nova for complex tasks,-,-,-
bedrock/amazon.nova-canvas-v1:0,nova-canvas,Amazon Nova Canvas,C,0.04,-,-,0,0,I,verified,bedrock,2026-01-04,State-of-art image generation,-,-,-
bedrock/amazon.nova-reel-v1:0,nova-reel,Amazon Nova Reel,C,0.80,-,-,0,0,D,verified,bedrock,2026-01-04,Studio-quality video generation,-,-,-
bedrock/amazon.nova-sonic-v1:0,nova-sonic,Amazon Nova Sonic,C,4.88,7.50,-,0,0,A,verified,bedrock,2026-01-04,Streaming speech-to-speech,-,-,-
bedrock/amazon.nova-2-lite-v1:0,nova-2-lite,Amazon Nova 2 Lite,C,0.08,0.32,-,300000,5000,SVTJ,verified,bedrock,2026-01-04,Next-gen efficient multimodal,-,-,-
bedrock/amazon.nova-2-pro-v1:0,nova-2-pro,Amazon Nova 2 Pro,C,1.00,4.00,-,300000,5000,SVTJK,verified,bedrock,2026-01-04,Next-gen advanced multimodal,-,-,-
bedrock/amazon.titan-text-premier-v1:0,titan-text-premier,Amazon Titan Text Premier,C,0.50,1.50,-,32000,3072,TJ,verified,bedrock,2026-01-04,Titan flagship text model,-,-,-
bedrock/amazon.titan-text-express-v1,titan-text-express,Amazon Titan Text Express,C,0.20,0.60,-,8000,4096,-,verified,bedrock,2026-01-04,Balanced Titan text model,-,-,-
bedrock/amazon.titan-text-lite-v1,titan-text-lite,Amazon Titan Text Lite,C,0.15,0.20,-,4000,4000,-,verified,bedrock,2026-01-04,Lightweight Titan text,-,-,-
bedrock/amazon.titan-embed-text-v2:0,titan-embed-v2,Amazon Titan Text Embeddings V2,C,0.02,-,-,8192,1024,E,verified,bedrock,2026-01-04,Latest Titan embeddings,-,-,-
bedrock/amazon.titan-embed-text-v1,titan-embed-v1,Amazon Titan Text Embeddings V1,C,0.10,-,-,8192,1536,E,verified,bedrock,2026-01-04,Titan embeddings v1,-,-,-
bedrock/amazon.titan-embed-image-v1,titan-embed-image,Amazon Titan Multimodal Embeddings,C,0.80,-,-,128,1024,VE,verified,bedrock,2026-01-04,Image+text embeddings,-,-,-
bedrock/amazon.titan-image-generator-v2:0,titan-image-v2,Amazon Titan Image Generator V2,C,0.008,-,-,0,0,I,verified,bedrock,2026-01-04,Advanced image generation,-,-,-
bedrock/amazon.titan-image-generator-v1,titan-image-v1,Amazon Titan Image Generator V1,C,0.01,-,-,0,0,I,verified,bedrock,2026-01-04,Image generation,-,-,-
bedrock/amazon.rerank-v1:0,amazon-rerank,Amazon Rerank,C,1.00,-,-,32000,0,R,verified,bedrock,2026-01-04,Semantic reranking model,-,-,-
bedrock/anthropic.claude-sonnet-4-5-v1:0,claude-4-5-sonnet,Claude 4.5 Sonnet,C,3.00,15.00,-,200000,8192,SVTJKC,verified,bedrock,2026-01-04,Best for complex coding and analysis,-,-,-
bedrock/anthropic.claude-opus-4-1-v1:0,claude-4-1-opus,Claude 4.1 Opus,C,15.00,75.00,-,200000,32000,SVTJKC,verified,bedrock,2026-01-04,Most powerful Claude model,-,-,-
bedrock/anthropic.claude-opus-4-v1:0,claude-4-opus,Claude 4 Opus,C,15.00,75.00,-,200000,32000,SVTJKC,verified,bedrock,2026-01-04,Claude 4 flagship,-,-,-
bedrock/anthropic.claude-sonnet-4-v1:0,claude-4-sonnet,Claude 4 Sonnet,C,3.00,15.00,-,200000,8192,SVTJKC,verified,bedrock,2026-01-04,Claude 4 balanced model,-,-,-
bedrock/anthropic.claude-3-7-sonnet-v1:0,claude-3-7-sonnet,Claude 3.7 Sonnet,C,3.00,15.00,-,200000,8192,SVTJKC,verified,bedrock,2026-01-04,Enhanced Claude 3.5 successor,-,-,-
bedrock/anthropic.claude-3-5-sonnet-v2:0,claude-3-5-sonnet-v2,Claude 3.5 Sonnet V2,C,3.00,15.00,-,200000,8192,SVTJKC,verified,bedrock,2026-01-04,Latest 3.5 Sonnet with computer use,-,-,-
bedrock/anthropic.claude-3-5-sonnet-v1:0,claude-3-5-sonnet-v1,Claude 3.5 Sonnet V1,C,3.00,15.00,-,200000,8192,SVTJC,verified,bedrock,2026-01-04,Original Claude 3.5 Sonnet,-,-,-
bedrock/anthropic.claude-3-5-haiku-v1:0,claude-3-5-haiku,Claude 3.5 Haiku,C,0.80,4.00,-,200000,8192,SVTJC,verified,bedrock,2026-01-04,Fast Claude 3.5 model,-,-,-
bedrock/anthropic.claude-3-opus-v1:0,claude-3-opus,Claude 3 Opus,C,15.00,75.00,-,200000,4096,SVTJC,verified,bedrock,2026-01-04,Claude 3 most capable,-,-,-
bedrock/anthropic.claude-3-sonnet-v1:0,claude-3-sonnet,Claude 3 Sonnet,L,3.00,15.00,-,200000,4096,SVTJC,verified,bedrock,2026-01-04,Claude 3 balanced,-,-,-
bedrock/anthropic.claude-3-haiku-v1:0,claude-3-haiku,Claude 3 Haiku,C,0.25,1.25,-,200000,4096,SVTJC,verified,bedrock,2026-01-04,Claude 3 fastest,-,-,-
bedrock/anthropic.claude-v2:1,claude-2-1,Claude 2.1,L,8.00,24.00,-,200000,4096,T,verified,bedrock,2026-01-04,Legacy Claude 2.1,-,-,-
bedrock/anthropic.claude-v2,claude-2,Claude 2,L,8.00,24.00,-,100000,4096,-,verified,bedrock,2026-01-04,Legacy Claude 2,-,-,-
bedrock/anthropic.claude-instant-v1,claude-instant,Claude Instant,L,0.80,2.40,-,100000,4096,-,verified,bedrock,2026-01-04,Legacy fast Claude,-,-,-
bedrock/cohere.command-r-plus-v1:0,command-r-plus,Cohere Command R+,C,2.50,10.00,-,128000,4000,TJS,verified,bedrock,2026-01-04,Cohere flagship RAG model,-,-,-
bedrock/cohere.command-r-v1:0,command-r,Cohere Command R,C,0.50,1.50,-,128000,4000,TJS,verified,bedrock,2026-01-04,Cohere efficient RAG model,-,-,-
bedrock/cohere.command-light-text-v14,command-light,Cohere Command Light,L,0.30,0.60,-,4096,4096,-,verified,bedrock,2026-01-04,Legacy Cohere light model,-,-,-
bedrock/cohere.command-text-v14,command-text,Cohere Command,L,1.50,2.00,-,4096,4096,-,verified,bedrock,2026-01-04,Legacy Cohere command,-,-,-
bedrock/cohere.embed-english-v3,cohere-embed-en-v3,Cohere Embed English V3,C,0.10,-,-,512,1024,E,verified,bedrock,2026-01-04,English embeddings,-,-,-
bedrock/cohere.embed-multilingual-v3,cohere-embed-multi-v3,Cohere Embed Multilingual V3,C,0.10,-,-,512,1024,E,verified,bedrock,2026-01-04,Multilingual embeddings,-,-,-
bedrock/cohere.rerank-v3-5:0,cohere-rerank-v3-5,Cohere Rerank 3.5,C,2.00,-,-,4096,0,R,verified,bedrock,2026-01-04,Latest Cohere reranker,-,-,-
bedrock/cohere.rerank-multilingual-v3:0,cohere-rerank-multi,Cohere Rerank Multilingual,C,2.00,-,-,4096,0,R,verified,bedrock,2026-01-04,Multilingual reranking,-,-,-
bedrock/deepseek.deepseek-r1-v1:0,deepseek-r1,DeepSeek R1,C,1.40,5.60,-,128000,16384,TJK,verified,bedrock,2026-01-04,DeepSeek reasoning model,-,-,-
bedrock/deepseek.deepseek-v3-1-v1:0,deepseek-v3-1,DeepSeek V3.1,C,0.27,1.10,-,128000,16384,TJS,verified,bedrock,2026-01-04,DeepSeek efficient MoE,-,-,-
bedrock/google.gemma-3-27b-it-v1:0,gemma-3-27b,Google Gemma 3 27B IT,C,0.30,0.35,-,128000,8192,VT,verified,bedrock,2026-01-04,Gemma 3 large model,-,-,-
bedrock/google.gemma-3-12b-it-v1:0,gemma-3-12b,Google Gemma 3 12B IT,C,0.10,0.15,-,128000,8192,VT,verified,bedrock,2026-01-04,Gemma 3 medium model,-,-,-
bedrock/google.gemma-3-4b-it-v1:0,gemma-3-4b,Google Gemma 3 4B IT,C,0.06,0.08,-,128000,8192,-,verified,bedrock,2026-01-04,Gemma 3 small model,-,-,-
bedrock/google.gemma-2-27b-it-v1:0,gemma-2-27b,Google Gemma 2 27B IT,C,0.30,0.35,-,8192,8192,-,verified,bedrock,2026-01-04,Gemma 2 large model,-,-,-
