id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
bytedance-seed/seed-1.6-flash,seed-1.6-flash,ByteDance Seed: Seed 1.6 Flash,C,0.00000007,0.00000030,-,262144,16384,JKSTV,verified,openrouter,2025-12-23,"Seed 1.6 Flash is an ultra-fast multimodal deep thinking model by ByteDance Seed, supporting both te",-,-,-
bytedance-seed/seed-1.6,seed-1.6,ByteDance Seed: Seed 1.6,C,0.00000025,0.00000200,-,262144,32768,JKSTV,verified,openrouter,2025-12-23,Seed 1.6 is a general-purpose model released by the ByteDance Seed team. It incorporates multimodal ,-,-,-
minimax/minimax-m2.1,minimax-m2.1,MiniMax: MiniMax M2.1,C,0.00000012,0.00000048,-,196608,49152,JKST,verified,openrouter,2025-12-22,"MiniMax-M2.1 is a lightweight, state-of-the-art large language model optimized for coding, agentic w",-,-,-
z-ai/glm-4.7,glm-4.7,Z.AI: GLM 4.7,C,0.00000040,0.00000150,-,202752,65535,JKST,verified,openrouter,2025-12-21,"GLM-4.7 is Z.AI’s latest flagship model, featuring upgrades in two key areas: enhanced programming c",-,-,-
google/gemini-3-flash-preview,gemini-3-flash-previ,Google: Gemini 3 Flash Preview,C,0.00000050,0.00000300,-,1048576,65535,JKSTV,verified,openrouter,2025-12-17,"Gemini 3 Flash Preview is a high speed, high value thinking model designed for agentic workflows, mu",-,-,-
mistralai/mistral-small-creative,mistral-small-creati,Mistral: Mistral Small Creative,C,0.00000010,0.00000030,-,32768,8192,T,verified,openrouter,2025-12-16,"Mistral Small Creative is an experimental small model designed for creative writing, narrative gener",-,-,-
allenai/olmo-3.1-32b-think:free,olmo-3.1-32b-think:f,AllenAI: Olmo 3.1 32B Think (free),C,-,-,-,65536,65536,JKS,verified,openrouter,2025-12-16,"Olmo 3.1 32B Think is a large-scale, 32-billion-parameter model designed for deep reasoning, complex",-,-,-
xiaomi/mimo-v2-flash:free,mimo-v2-flash:free,Xiaomi: MiMo-V2-Flash (free),C,-,-,-,262144,65536,JKT,verified,openrouter,2025-12-14,MiMo-V2-Flash is an open-source foundation language model developed by Xiaomi. It is a Mixture-of-Ex,-,-,-
nvidia/nemotron-3-nano-30b-a3b:free,nemotron-3-nano-30b-,NVIDIA: Nemotron 3 Nano 30B A3B (free),C,-,-,-,256000,64000,KT,verified,openrouter,2025-12-14,NVIDIA Nemotron 3 Nano 30B A3B is a small language MoE model with highest compute efficiency and acc,-,-,-
nvidia/nemotron-3-nano-30b-a3b,nemotron-3-nano-30b-,NVIDIA: Nemotron 3 Nano 30B A3B,C,0.00000006,0.00000024,-,262144,262144,JKST,verified,openrouter,2025-12-14,NVIDIA Nemotron 3 Nano 30B A3B is a small language MoE model with highest compute efficiency and acc,-,-,-
