id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
together/cartesia/sonic,sonic,Cartesia Sonic,C,65,-,-,0,0,A,official,together,2026-01-04,Cartesia Sonic on Together AI,-,-,-
together/cartesia/sonic-2,sonic-2,Cartesia Sonic 2,C,65,-,-,0,0,A,official,together,2026-01-04,Cartesia Sonic 2 on Together AI,-,-,-
together/Meta-Llama/Llama-Guard-7b,llama-guard-7b,Llama Guard (7B),C,0.2,0.2,-,4096,1024,M,official,together,2026-01-04,Llama Guard (7B) on Together AI,-,-,-
together/togethercomputer/MoA-1,moa-1,Together AI MoA-1,C,-,-,-,32768,4096,T,official,together,2026-01-04,Together AI MoA-1 on Together AI,-,-,-
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,llama-3.3-70b-instruct-turbo,Meta Llama 3.3 70B Instruct Turbo,C,0.88,0.88,-,131072,4096,TJS,official,together,2026-01-04,Meta Llama 3.3 70B Instruct Turbo on Together AI,-,-,-
together/kwaivgI/kling-1.6-standard,kling-1.6-standard,Kling 1.6 Standard,C,-,-,-,4096,1024,D,official,together,2026-01-04,Kling 1.6 Standard on Together AI,-,-,-
together/black-forest-labs/FLUX.2-flex,flux.2-flex,FLUX.2 [flex],C,-,-,-,4096,1024,I,official,together,2026-01-04,FLUX.2 [flex] on Together AI,-,-,-
together/deepseek-ai/DeepSeek-R1,deepseek-r1,DeepSeek R1-0528,C,3,7,-,163840,4096,TJK,official,together,2026-01-04,DeepSeek R1-0528 on Together AI,-,-,-
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,meta-llama-3.1-70b-instruct-turbo,Meta Llama 3.1 70B Instruct Turbo,C,0.88,0.88,-,131072,4096,TJS,official,together,2026-01-04,Meta Llama 3.1 70B Instruct Turbo on Together AI,-,-,-
together/black-forest-labs/FLUX.1-dev-lora,flux.1-dev-lora,FLUX.1 [dev] LoRA,C,-,-,-,4096,1024,I,official,together,2026-01-04,FLUX.1 [dev] LoRA on Together AI,-,-,-
together/HiDream-ai/HiDream-I1-Full,hidream-i1-full,HiDream-I1-Full,C,-,-,-,4096,1024,I,official,together,2026-01-04,HiDream-I1-Full on Together AI,-,-,-
together/black-forest-labs/FLUX.1-krea-dev,flux.1-krea-dev,FLUX.1 Krea [dev],C,-,-,-,4096,1024,I,official,together,2026-01-04,FLUX.1 Krea [dev] on Together AI,-,-,-
together/togethercomputer/MoA-1-Turbo,moa-1-turbo,Together AI MoA-1-Turbo,C,-,-,-,32768,4096,T,official,together,2026-01-04,Together AI MoA-1-Turbo on Together AI,-,-,-
together/Lykon/DreamShaper,dreamshaper,Dreamshaper,C,-,-,-,4096,1024,I,official,together,2026-01-04,Dreamshaper on Together AI,-,-,-
together/HiDream-ai/HiDream-I1-Dev,hidream-i1-dev,HiDream-I1-Dev,C,-,-,-,4096,1024,I,official,together,2026-01-04,HiDream-I1-Dev on Together AI,-,-,-
together/Qwen/Qwen-Image,qwen-image,Qwen Image,C,-,-,-,4096,1024,I,official,together,2026-01-04,Qwen Image on Together AI,-,-,-
together/RunDiffusion/Juggernaut-pro-flux,juggernaut-pro-flux,Juggernaut Pro Flux by RunDiffusion 1.0.0,C,-,-,-,4096,1024,I,official,together,2026-01-04,Juggernaut Pro Flux by RunDiffusion 1.0.0 on Together AI,-,-,-
together/google/imagen-4.0-preview,imagen-4.0-preview,Google Imagen 4.0 Preview,C,-,-,-,4096,1024,I,official,together,2026-01-04,Google Imagen 4.0 Preview on Together AI,-,-,-
together/google/imagen-4.0-ultra,imagen-4.0-ultra,Google Imagen 4.0 Ultra,C,-,-,-,4096,1024,I,official,together,2026-01-04,Google Imagen 4.0 Ultra on Together AI,-,-,-
together/google/veo-3.0,veo-3.0,Google Veo 3.0,C,-,-,-,4096,1024,D,official,together,2026-01-04,Google Veo 3.0 on Together AI,-,-,-
together/minimax/hailuo-02,hailuo-02,MiniMax Hailuo 02,C,-,-,-,4096,1024,D,official,together,2026-01-04,MiniMax Hailuo 02 on Together AI,-,-,-
together/stabilityai/stable-diffusion-3-medium,stable-diffusion-3-medium,Stable Diffusion 3,C,-,-,-,4096,1024,I,official,together,2026-01-04,Stable Diffusion 3 on Together AI,-,-,-
together/minimax/video-01-director,video-01-director,MiniMax 01 Director,C,-,-,-,4096,1024,D,official,together,2026-01-04,MiniMax 01 Director on Together AI,-,-,-
