id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
huggingface/nous-hermes-3-70b,nous-hermes-3-70b,Nous: Hermes 3 70B,C,0.00000081,0.00000243,-,4096,2048,JT,verified,huggingface,2025-01-04,Nous Research 70B instruct model with strong reasoning capabilities,68.5,72.0,42.1
huggingface/neural-chat-7b,neural-chat-7b,Intel: Neural Chat 7B,C,0.00000007,0.00000021,-,8192,2048,JT,verified,huggingface,2025-01-04,Lightweight Intel chat model optimized for edge inference,45.2,62.1,18.9
huggingface/tinyllama-1.1b,tinyllama-1.1b|tinyllama,TinyLlama: 1.1B,C,0.00000001,0.00000002,-,2048,512,J,verified,huggingface,2025-01-04,Ultra-lightweight 1.1B model for resource-constrained devices,40.2,51.3,12.1
huggingface/orca-2-13b,orca-2-13b,Microsoft: Orca 2 13B,C,0.00000020,0.00000060,-,4096,2048,JT,verified,huggingface,2025-01-04,Microsoft Orca 2 for complex reasoning and instruction following,60.8,68.5,32.4
huggingface/orca-2-7b,orca-2-7b|orca-mini,Microsoft: Orca 2 7B,C,0.00000010,0.00000030,-,4096,2048,JT,verified,huggingface,2025-01-04,Compact Orca 2 variant for efficient instruction understanding,54.3,62.8,24.7
huggingface/openhermes-2.5-mistral-7b,openhermes-2.5,OpenHermes: Mistral 7B,C,0.00000010,0.00000030,-,8192,2048,JT,verified,huggingface,2025-01-04,OpenHermes variant of Mistral optimized for multi-turn conversations,51.2,65.3,28.9
huggingface/starling-7b,starling-7b|starling-lm,Starling: 7B,C,0.00000010,0.00000030,-,4096,2048,JT,verified,huggingface,2025-01-04,Open LM foundation model with strong chat capabilities,62.5,71.2,38.1
huggingface/solar-10.7b,solar-10.7b|solar,Upstage: Solar 10.7B,C,0.00000015,0.00000045,-,4096,2048,JT,verified,huggingface,2025-01-04,Upstage Solar base model with efficient inference,59.8,68.3,35.2
huggingface/openchat-3.5-0106,openchat-3.5|openchat,OpenChat: 3.5,C,0.00000008,0.00000024,-,8192,2048,JT,verified,huggingface,2025-01-04,Community-driven chat model optimized for instruction following,53.4,67.9,30.2
huggingface/zephyr-7b-beta,zephyr-7b|zephyr,HuggingFace: Zephyr 7B,C,0.00000010,0.00000030,-,4096,2048,JT,verified,huggingface,2025-01-04,Community chat model from HuggingFace with strong performance,55.1,70.4,32.8
huggingface/neural-7b-chat,neural-7b,Intel: Neural 7B Chat,C,0.00000010,0.00000030,-,4096,2048,JT,verified,huggingface,2025-01-04,Intel Neural 7B optimized for conversational AI,52.3,68.0,29.1
huggingface/stablelm-3b,stablelm-3b|stable-3b,Stability: StableLM 3B,C,0.00000005,0.00000015,-,4096,1024,J,verified,huggingface,2025-01-04,Lightweight StableLM model for mobile and edge devices,41.2,58.3,16.7
huggingface/stablelm-base-alpha-7b,stablelm-7b|stablelm-base,Stability: StableLM 7B Alpha,C,0.00000010,0.00000030,-,4096,2048,JT,verified,huggingface,2025-01-04,Base StableLM 7B for instruct-tuning,50.1,65.2,27.3
huggingface/wizard-lm-1.3b,wizard-lm-1.3b|wizard-mini,WizardLM: 1.3B,C,0.00000002,0.00000006,-,2048,512,J,verified,huggingface,2025-01-04,Lightweight WizardLM variant for instruction following,48.5,59.7,21.2
huggingface/wizard-lm-13b,wizard-lm-13b|wizard,WizardLM: 13B,C,0.00000020,0.00000060,-,4096,2048,JT,verified,huggingface,2025-01-04,WizardLM 13B optimized for instruction following,61.8,69.5,39.8
huggingface/mpt-7b-instruct,mpt-7b-instruct|mpt-7b,MosaicML: MPT 7B Instruct,C,0.00000010,0.00000030,-,8192,2048,JT,verified,huggingface,2025-01-04,MosaicML open foundation model with 8K context,54.3,66.4,29.5
huggingface/mpt-30b-instruct,mpt-30b|mpt-30b-instruct,MosaicML: MPT 30B Instruct,C,0.00000045,0.00000135,-,8192,4096,JT,verified,huggingface,2025-01-04,Larger MosaicML model for complex tasks,64.5,72.1,43.2
huggingface/llama-2-7b-hf,llama2-7b|llama2-7b-hf,Meta: Llama 2 7B HF,C,0.00000010,0.00000030,-,4096,2048,JT,verified,huggingface,2025-01-04,Llama 2 7B from HuggingFace collection,46.0,62.3,20.8
huggingface/llama-2-13b-hf,llama2-13b|llama2-13b-hf,Meta: Llama 2 13B HF,C,0.00000020,0.00000060,-,4096,2048,JT,verified,huggingface,2025-01-04,Llama 2 13B base model from HuggingFace,55.0,68.5,29.6
huggingface/codellama-7b-instruct,codellama-7b|codellama,Meta: Code Llama 7B Instruct,C,0.00000010,0.00000030,-,8192,2048,JT,verified,huggingface,2025-01-04,Specialized Llama variant for code generation,40.2,74.1,18.7
huggingface/codegemma-7b-it,codegemma-7b|codegemma,Google: CodeGemma 7B,C,0.00000010,0.00000030,-,8192,2048,JT,verified,huggingface,2025-01-04,Google Gemma variant specialized for code,45.3,71.8,22.1
huggingface/biollm-7b,biollm-7b|biollm,DNABERT: BioLLM 7B,C,0.00000010,0.00000030,-,4096,2048,VS,verified,huggingface,2025-01-04,Specialized model for biomedical NLP tasks,48.1,-,-
huggingface/sciBERT-base,scibert|scibert-base,AllenAI: SciBERT Base,C,0.00000005,0.00000015,-,512,256,S,verified,huggingface,2025-01-04,BERT model for scientific text understanding,52.3,-,-
huggingface/lawbert-base-uncased,lawbert|lawbert-uncased,LawBERT: Base Uncased,C,0.00000005,0.00000015,-,512,256,S,verified,huggingface,2025-01-04,BERT model specialized for legal document analysis,58.1,-,-
huggingface/finbert-base-uncased,finbert|finbert-uncased,FinBERT: Base Uncased,C,0.00000005,0.00000015,-,512,256,S,verified,huggingface,2025-01-04,BERT model for financial sentiment analysis,62.4,-,-
huggingface/medalpaca-7b,medalpaca|medalpaca-7b,MedAlpaca: 7B,C,0.00000010,0.00000030,-,4096,2048,J,verified,huggingface,2025-01-04,Specialized medical domain instruction model,51.2,-,-
