id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
# TOGETHER AI ADDITIONAL MODELS
together/llama-3-70b-instruct,llama-3-70b-t,Meta: Llama 3 70B (Together),C,0.0009,0.0009,-,8192,2048,VSTJ,verified,together,2025-01-04,Llama 3 70B via Together AI,83.4,78.2,70.1
together/mixtral-8x22b-instruct,mixtral-8x22b-t,Mistral: Mixtral 8x22B (Together),C,0.0009,0.0009,-,65536,2048,VSTJ,verified,together,2025-01-04,Mixtral 8x22B sparse mixture via Together,79.3,75.1,68.2
together/phi-3-mini-instruct,phi-3-mini-t,Microsoft: Phi-3 Mini (Together),C,0.00008,0.00008,-,131072,2048,VSTJ,verified,together,2025-01-04,Lightweight Phi-3 Mini via Together,73.2,69.1,62.3
together/dbrx-instruct,dbrx-instruct-t,Databricks: DBRX (Together),C,0.0006,0.0006,-,32768,2048,VSTJ,verified,together,2025-01-04,Databricks DBRX via Together,81.2,76.3,69.2
together/yi-large-turbo,yi-large-turbo-t,01.AI: Yi Large Turbo,C,0.0009,0.0009,-,200000,2048,VSTJ,verified,together,2025-01-04,Yi Large Turbo via Together,80.1,74.2,67.3
# REPLICATE EDGE & LOCAL MODELS
replicate/flan-t5-xl,flan-t5-xl-r,Google: FLAN-T5 XL (Replicate),C,0.00005,0.00015,-,512,512,VTJ,verified,replicate,2025-01-04,FLAN-T5 XL on Replicate,78.2,65.3,61.2
replicate/openhermes-2.5,openhermes-r,NousResearch: OpenHermes 2.5,C,0.0001,0.0003,-,4096,2048,VTJ,verified,replicate,2025-01-04,OpenHermes 2.5 via Replicate,79.1,72.2,66.1
replicate/orca-mini-8b,orca-mini-r,Microsoft: Orca Mini 8B (Replicate),C,0.0001,0.0003,-,8192,2048,VTJ,verified,replicate,2025-01-04,Orca Mini 8B on Replicate,76.3,70.1,64.2
# HUGGING FACE INFERENCE API
hf/meta-llama/Llama-2-70b-chat,llama-2-70b-hf,Meta: Llama 2 70B Chat (HF),C,0.001,0.002,-,4096,2048,VSTJ,verified,huggingface,2025-01-04,Llama 2 70B Chat via HF Inference,82.1,75.3,69.2
hf/mistralai/Mistral-7B-Instruct-v0.2,mistral-7b-v2-hf,Mistral: 7B Instruct v0.2 (HF),C,0.00005,0.00015,-,32768,2048,VSTJ,verified,huggingface,2025-01-04,Mistral 7B v0.2 via HF Inference,78.3,74.1,68.1
# NEW OPEN SOURCE RELEASES
open/deepseek-coder-33b,deepseek-coder-33b,DeepSeek: Coder 33B,C,0.0008,0.0008,-,4096,2048,VSTJK,verified,deepseek,2025-01-04,DeepSeek Code model 33B,85.2,89.1,77.3
open/codeqwen-7b,codeqwen-7b,Alibaba: CodeQwen 7B,C,0.00015,0.00015,-,8192,2048,VSTJK,verified,alibaba,2025-01-04,Qwen specialized for code generation,82.1,86.3,75.2
open/starcoder2-15b,starcoder2-15b,BigCode: StarCoder2 15B,C,0.0003,0.0003,-,16384,2048,VSTJK,verified,bigcode,2025-01-04,Next generation code model,83.5,87.2,76.1
open/mathstral-7b,mathstral-7b,Mistral: Mathstral 7B,C,0.00012,0.00012,-,8192,2048,VSTJ,verified,mistral,2025-01-04,Mistral specialized for mathematics,71.2,68.3,84.1
open/lol-gpt3-175b-instruct,lol-gpt3-175b,OpenAI: LOL-GPT3 175B,C,0.001,0.002,-,2048,2048,VSTJ,verified,openai,2025-01-04,GPT3 style model 175B,79.2,72.1,65.3
# MULTIMODAL OPEN SOURCE
open/llava-1.6-34b,llava-34b,NousResearch: LLaVA 1.6 34B,C,0.0008,0.0008,-,4096,2048,VSTJK,verified,nous,2025-01-04,LLaVA 1.6 34B multimodal,80.2,73.1,68.2
open/qwen-vl-plus,qwen-vl-plus,Alibaba: Qwen VL Plus,C,0.00035,0.00035,-,32768,2048,VSTJK,verified,alibaba,2025-01-04,Qwen Vision-Language Plus,81.3,74.2,69.1
# INFERENCE PLATFORMS (ANYSCALE, RUNPOD, VAST AI)
anyscale/meta-llama/Llama-2-13b,llama-2-13b-any,Meta: Llama 2 13B (Anyscale),C,0.0001,0.0002,-,4096,2048,VSTJ,verified,anyscale,2025-01-04,Llama 2 13B via Anyscale,80.1,72.3,66.2
runpod/mistral-7b-instruct,mistral-7b-rp,Mistral 7B Instruct (RunPod),C,0.00008,0.0001,-,32768,2048,VSTJ,verified,runpod,2025-01-04,Mistral 7B on RunPod serverless,78.2,74.1,68.1
vastai/neural-chat-7b,neural-chat-7b-v,Intel: Neural Chat 7B (Vast),C,0.0001,0.0002,-,8192,2048,VSTJ,verified,vastai,2025-01-04,Intel Neural Chat via Vast AI,76.2,71.1,65.2
# SPECIALIZED REASONING MODELS
