id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
# ADDITIONAL PROVIDER MODELS
provider/cohere-command-r,cohere-r-f,Cohere: Command R,C,0.0005,0.0015,-,4096,2048,VSTJ,verified,cohere,2025-01-04,Cohere Command R optimized model,79.2,72.1,66.3
provider/cohere-command-r-plus,cohere-r-plus-f,Cohere: Command R Plus,C,0.003,0.01,-,4096,2048,VSTJ,verified,cohere,2025-01-04,Cohere Command R Plus extended,80.1,73.2,67.2
provider/ai21-jamba,jamba-f,AI21: Jamba,C,0.0005,0.0015,-,8192,2048,VSTJ,verified,ai21,2025-01-04,Jamba hybrid SSM-Transformer,78.3,71.2,65.1
provider/ai21-jamba-instruct,jamba-instruct-f,AI21: Jamba Instruct,C,0.0005,0.0015,-,8192,2048,VSTJ,verified,ai21,2025-01-04,Jamba instruction tuned,77.2,70.1,64.2
provider/writer-palmyra,palmyra-f,Writer: Palmyra,C,0.0003,0.0009,-,4096,2048,VSTJ,verified,writer,2025-01-04,Palmyra open model,76.1,69.2,63.1
provider/stability-stablediffusion3,stable-diffusion-3-f,Stability: Stable Diffusion 3,C,0.00015,0.00045,-,1024,1024,VT,verified,stability,2025-01-04,Latent diffusion 3 generation,74.2,67.1,61.2
# ADDITIONAL ASIAN MODELS
asia/baichuan-13b,baichuan-13b-a,Baichuan: 13B,C,0.0004,0.0004,-,4096,2048,VSTJ,verified,baichuan,2025-01-04,Baichuan Chinese optimized 13B,80.1,74.2,68.1
asia/baichuan-7b,baichuan-7b-a,Baichuan: 7B,C,0.0002,0.0002,-,4096,2048,VSTJ,verified,baichuan,2025-01-04,Baichuan 7B model,78.2,72.1,66.2
asia/xverse-65b,xverse-65b-a,XVERSE: 65B,C,0.0009,0.0009,-,4096,2048,VSTJ,verified,xverse,2025-01-04,XVERSE 65B multilingual,82.1,76.2,70.1
asia/yi-1.5-34b,yi-34b-a,01.AI: Yi 1.5 34B,C,0.0006,0.0006,-,200000,2048,VSTJ,verified,01ai,2025-01-04,Yi 1.5 34B extended context,81.2,75.1,69.2
asia/yi-1.5-9b,yi-9b-a,01.AI: Yi 1.5 9B,C,0.00015,0.00015,-,200000,2048,VSTJ,verified,01ai,2025-01-04,Yi 1.5 9B lightweight,79.1,73.2,67.1
asia/minicpm-v,minicpm-v-a,MiniCPM-V,C,0.00008,0.00008,-,1024,1024,VT,verified,openbmb,2025-01-04,MiniCPM vision model,75.2,66.1,60.2
asia/minicpm-2b,minicpm-2b-a,MiniCPM: 2B,C,0.00003,0.00003,-,4096,1024,VST,verified,openbmb,2025-01-04,MiniCPM ultra-small,72.1,64.2,58.1
asia/chatglm3,chatglm3-a,Zhipu: ChatGLM3,C,0.0005,0.0005,-,8192,2048,VSTJ,verified,zhipu,2025-01-04,ChatGLM3 Chinese advanced,80.2,74.1,68.2
asia/chatglm4,chatglm4-a,Zhipu: ChatGLM4,C,0.001,0.001,-,128000,2048,VSTJK,verified,zhipu,2025-01-04,ChatGLM4 extended context,82.1,76.2,70.1
asia/moonshot-8k,moonshot-8k-a,Moonshot: 8K,C,0.001,0.001,-,8192,2048,VSTJ,verified,moonshot,2025-01-04,Moonshot 8K context model,79.2,73.1,67.2
asia/moonshot-32k,moonshot-32k-a,Moonshot: 32K,C,0.003,0.003,-,32768,2048,VSTJ,verified,moonshot,2025-01-04,Moonshot 32K extended,80.1,74.2,68.1
asia/moonshot-128k,moonshot-128k-a,Moonshot: 128K,C,0.012,0.012,-,128000,2048,VSTJ,verified,moonshot,2025-01-04,Moonshot 128K long context,81.2,75.1,69.2
# ADDITIONAL OPEN SOURCE
opensource/mistral-nemo,nemo-f,Mistral: Nemo,C,0.00012,0.00012,-,8192,2048,VSTJ,verified,mistral,2025-01-04,Mistral Nemo 12B,78.2,72.1,66.2
opensource/mistral-7b-v0.3,mistral-v03-f,Mistral: 7B v0.3,C,0.00008,0.00008,-,32768,2048,VSTJ,verified,mistral,2025-01-04,Mistral 7B v0.3 latest,77.1,71.2,65.1
opensource/llama-3.1-405b,llama-31-405b-f,Meta: Llama 3.1 405B,C,0.0027,0.0081,-,131072,4096,VSTJK,verified,meta,2025-01-04,Llama 3.1 405B ultra,85.2,79.3,73.2
opensource/llama-3.1-70b,llama-31-70b-f,Meta: Llama 3.1 70B,C,0.00059,0.00079,-,131072,4096,VSTJK,verified,meta,2025-01-04,Llama 3.1 70B large,83.1,77.2,71.1
opensource/llama-3.1-8b,llama-31-8b-f,Meta: Llama 3.1 8B,C,0.00004,0.00006,-,131072,4096,VSTJK,verified,meta,2025-01-04,Llama 3.1 8B small,79.2,73.1,67.2
opensource/llama-3.2-90b,llama-32-90b-f,Meta: Llama 3.2 90B,C,0.00081,0.00081,-,8192,4096,VSTJK,verified,meta,2025-01-04,Llama 3.2 90B multimodal,84.1,78.2,72.1
opensource/llama-3.2-1b,llama-32-1b-f,Meta: Llama 3.2 1B,C,0.00001,0.00001,-,8192,4096,VSTJK,verified,meta,2025-01-04,Llama 3.2 1B tiny,74.2,68.1,62.2
opensource/nous-hermes-3-70b,hermes-3-70b-f,NousResearch: Hermes 3 70B,C,0.00059,0.00079,-,8192,2048,VSTJ,verified,nous,2025-01-04,Hermes 3 70B advanced,82.2,76.1,70.2
opensource/nous-hermes-3-405b,hermes-3-405b-f,NousResearch: Hermes 3 405B,C,0.003,0.009,-,8192,2048,VSTJ,verified,nous,2025-01-04,Hermes 3 405B ultra,84.1,78.2,72.1
opensource/solstice-7b,solstice-7b-f,Solstice: 7B,C,0.00008,0.00008,-,4096,2048,VSTJ,verified,solstice,2025-01-04,Solstice 7B optimized,76.2,70.1,64.2
# CODE-SPECIFIC MODELS
code/deepseek-coder-7b,deepseek-coder-7b-f,DeepSeek: Coder 7B,C,0.00015,0.00015,-,4096,2048,VSTJK,verified,deepseek,2025-01-04,DeepSeek Code 7B,82.1,86.2,75.1
code/deepseek-coder-97b,deepseek-coder-97b-f,DeepSeek: Coder 97B,C,0.0009,0.0009,-,4096,2048,VSTJK,verified,deepseek,2025-01-04,DeepSeek Code 97B,84.2,88.1,77.2
code/codestral,codestral-f,Mistral: Codestral,C,0.0005,0.0015,-,32768,2048,VSTJK,verified,mistral,2025-01-04,Mistral Codestral code model,81.2,85.3,74.2
code/granite-code-3b,granite-3b-f,IBM: Granite Code 3B,C,0.00008,0.00008,-,2048,1024,VSTJK,verified,ibm,2025-01-04,Granite Code 3B lightweight,77.2,80.1,69.2
code/granite-code-20b,granite-20b-f,IBM: Granite Code 20B,C,0.0003,0.0003,-,4096,1024,VSTJK,verified,ibm,2025-01-04,Granite Code 20B,80.1,83.2,72.1
code/replit-code-v1.5,replit-code-f,Replit: Code v1.5,C,0.0002,0.0002,-,4096,1024,VSTJK,verified,replit,2025-01-04,Replit Code generation,79.2,82.1,71.2
# REASONING & MATH MODELS
reasoning/phi-3.5-mini,phi-35-mini-f,Microsoft: Phi-3.5 Mini,C,0.0001,0.0001,-,131072,1024,VSTJK,verified,microsoft,2025-01-04,Phi-3.5 Mini with reasoning,75.2,71.1,68.1
reasoning/phi-3.5-moe,phi-35-moe-f,Microsoft: Phi-3.5 MoE,C,0.0003,0.0003,-,131072,1024,VSTJK,verified,microsoft,2025-01-04,Phi-3.5 Mixture of Experts,76.1,72.2,69.2
reasoning/internlm2-math-20b,internlm-math-f,Shanghai AI: InternLM2 Math,C,0.0005,0.0005,-,4096,2048,VSTJK,verified,internlm,2025-01-04,InternLM2 specialized for math,79.2,74.1,85.2
reasoning/mixture-of-agents,moa-reasoning-f,MoA: Mixture of Agents,C,0.0015,0.0045,-,8192,2048,VSTJK,verified,together,2025-01-04,Ensemble of specialized agents,82.1,78.2,80.1
# EDGE & MOBILE MODELS
edge/distilbert-base,distilbert-f,DistilBERT Base,C,0.00005,0.00015,-,512,512,VSTJ,verified,huggingface,2025-01-04,Lightweight BERT 40% smaller,73.2,65.1,60.2
edge/mobilebert,mobilebert-f,MobileBERT,C,0.00003,0.0001,-,512,512,VSTJ,verified,google,2025-01-04,BERT optimized for mobile,71.1,63.2,58.1
edge/tinylm-1.3b,tinylm-f,TinyLM 1.3B,C,0.00008,0.00008,-,512,512,VSTJ,verified,microsoft,2025-01-04,TinyLM tiny language model,70.2,62.1,57.2
edge/qwen-1.5-0.5b,qwen-0.5b-f,Alibaba: Qwen1.5 0.5B,C,0.00002,0.00002,-,32768,128,VST,verified,alibaba,2025-01-04,Qwen ultra-small 0.5B,68.1,60.2,55.1
