id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
fireworks/chronos-hermes-13b-v2,chronos-hermes-13b-v2,Chronos Hermes 13B v2,C,0.200000,0.200000,-,4096,4096,J,api,fireworks,2026-01-04,(chronos-13b-v2 + Nous-Hermes-Llama2-13b) 75/25 merge. This offers the imaginative writing style of ,-,-,-
fireworks/codegemma-2b,codegemma-2b,CodeGemma 2B,C,0.200000,0.200000,-,8192,8192,J,api,fireworks,2026-01-04,CodeGemma is a collection of lightweight open code models built on top of Gemma. CodeGemma models ar,-,-,-
fireworks/codegemma-7b,codegemma-7b,CodeGemma 7B,C,0.200000,0.200000,-,8192,8192,J,api,fireworks,2026-01-04,CodeGemma is a collection of lightweight open code models built on top of Gemma. CodeGemma models ar,-,-,-
fireworks/code-llama-13b,code-llama-13b,Code Llama 13B,C,0.200000,0.200000,-,16384,16384,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
fireworks/code-llama-13b-instruct,code-llama-13b,Code Llama 13B Instruct,C,0.200000,0.200000,-,16384,16384,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
fireworks/code-llama-13b-python,code-llama-13b-python,Code Llama 13B Python,C,0.200000,0.200000,-,16384,16384,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
fireworks/code-llama-34b,code-llama-34b,Code Llama 34B,C,0.100000,0.100000,-,16384,16384,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
fireworks/code-llama-34b-instruct,code-llama-34b,Code Llama 34B Instruct,C,0.100000,0.100000,-,16384,16384,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
fireworks/code-llama-34b-python,code-llama-34b-python,Code Llama 34B Python,C,0.100000,0.100000,-,16384,16384,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
fireworks/code-llama-70b,code-llama-70b,Code Llama 70B,C,0.900000,0.900000,-,4096,4096,J,api,fireworks,2026-01-04,Code Llama is a collection of pretrained and fine-tuned Large Language Models ranging in scale from ,-,-,-
