id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
sambanova/Meta-Llama-3.3-70B-Instruct,llama-3.3-70b,Llama 3.3 70B Instruct,C,0.400000,0.800000,-,4096,4096,TJS,official,sambanova,2026-01-04,Meta Llama 3.3 70B on SambaNova RDU,-,-,-
sambanova/Meta-Llama-3.1-405B-Instruct,llama-3.1-405b,Llama 3.1 405B Instruct,C,5.000000,10.000000,-,4096,4096,TJS,official,sambanova,2026-01-04,"Largest Llama model, 405B parameters",-,-,-
sambanova/Meta-Llama-3.1-70B-Instruct,llama-3.1-70b,Llama 3.1 70B Instruct,C,0.400000,0.800000,-,4096,4096,TJS,official,sambanova,2026-01-04,Meta Llama 3.1 70B on SambaNova,-,-,-
sambanova/Meta-Llama-3.1-8B-Instruct,llama-3.1-8b,Llama 3.1 8B Instruct,C,0.100000,0.200000,-,4096,4096,TJS,official,sambanova,2026-01-04,Meta Llama 3.1 8B on SambaNova,-,-,-
sambanova/Llama-3.2-90B-Vision-Instruct,llama-3.2-90b-vision,Llama 3.2 90B Vision,C,0.600000,1.200000,-,4096,4096,VTJS,official,sambanova,2026-01-04,Llama 3.2 90B with vision capabilities,-,-,-
sambanova/Llama-3.2-11B-Vision-Instruct,llama-3.2-11b-vision,Llama 3.2 11B Vision,C,0.150000,0.300000,-,4096,4096,VTJS,official,sambanova,2026-01-04,Compact Llama 3.2 with vision,-,-,-
sambanova/Qwen2.5-72B-Instruct,qwen-2.5-72b,Qwen 2.5 72B Instruct,C,0.400000,0.800000,-,4096,4096,TJS,official,sambanova,2026-01-04,Alibaba Qwen 2.5 72B on SambaNova,-,-,-
sambanova/Qwen2.5-Coder-32B-Instruct,qwen-coder-32b,Qwen 2.5 Coder 32B,C,0.200000,0.400000,-,4096,4096,TJS,official,sambanova,2026-01-04,Qwen 2.5 specialized for code,-,-,-
sambanova/QwQ-32B,qwq-32b,QwQ 32B,C,0.200000,0.400000,-,4096,4096,TJK,official,sambanova,2026-01-04,Alibaba QwQ reasoning model,-,-,-
sambanova/DeepSeek-R1,deepseek-r1,DeepSeek R1,C,0.600000,1.200000,-,4096,4096,TJK,official,sambanova,2026-01-04,DeepSeek R1 reasoning model,-,-,-
sambanova/DeepSeek-R1-Distill-Llama-70B,deepseek-r1-70b,DeepSeek R1 Distill 70B,C,0.400000,0.800000,-,4096,4096,TJK,official,sambanova,2026-01-04,DeepSeek R1 distilled to Llama 70B,-,-,-
sambanova/Llama-4-Maverick-17B-128E-Instruct,llama-4-maverick,Llama 4 Maverick 17B,C,0.200000,0.600000,-,131072,16384,VTJS,official,sambanova,2026-01-04,Meta Llama 4 Maverick 400B MoE,-,-,-
sambanova/Llama-4-Scout-17B-16E-Instruct,llama-4-scout,Llama 4 Scout 17B,C,0.150000,0.400000,-,131072,16384,VTJS,official,sambanova,2026-01-04,Meta Llama 4 Scout 109B MoE,-,-,-
sambanova/gpt-oss-120b,gpt-oss-120b,GPT-OSS 120B,C,0.590000,0.790000,-,131072,16384,TJS,official,sambanova,2026-01-04,OpenAI open-weight 120B MoE,-,-,-
sambanova/DeepSeek-V3-0324,deepseek-v3,DeepSeek V3 0324,C,0.400000,0.800000,-,65536,16384,TJS,official,sambanova,2026-01-04,DeepSeek V3 with function calling,-,-,-
sambanova/Qwen3-32B,qwen3-32b,Qwen3 32B,C,0.200000,0.400000,-,131072,16384,TJS,official,sambanova,2026-01-04,Alibaba Qwen3 32B multilingual,-,-,-
sambanova/Llama-3.2-1B-Instruct,llama-3.2-1b,Llama 3.2 1B,C,0.050000,0.100000,-,131072,4096,TJ,official,sambanova,2026-01-04,Smallest Llama 3.2 model,-,-,-
sambanova/Llama-3.2-3B-Instruct,llama-3.2-3b,Llama 3.2 3B,C,0.080000,0.160000,-,131072,4096,TJ,official,sambanova,2026-01-04,Compact Llama 3.2 model,-,-,-
sambanova/ALLaM-7B-Instruct-preview,allam-7b,ALLaM 7B Arabic,C,0.100000,0.200000,-,4096,4096,TJ,official,sambanova,2026-01-04,Arabic language model preview,-,-,-
sambanova/E5-Mistral-7B-Instruct,e5-mistral-7b,E5 Mistral 7B Embed,C,0.100000,-,-,4096,4096,E,official,sambanova,2026-01-04,Embedding model,-,-,-
