id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
# OBJECT DETECTION & LOCALIZATION
vision/yolov8n,yolov8n-v,Ultralytics: YOLOv8 Nano,C,0.00001,0.00001,-,640,640,VT,verified,ultralytics,2025-01-04,Real-time object detection nano model,62.1,48.2,43.1
vision/yolov8s,yolov8s-v,Ultralytics: YOLOv8 Small,C,0.00002,0.00002,-,640,640,VT,verified,ultralytics,2025-01-04,Small object detection model,65.2,50.1,45.2
vision/yolov8m,yolov8m-v,Ultralytics: YOLOv8 Medium,C,0.00005,0.00005,-,640,640,VT,verified,ultralytics,2025-01-04,Medium object detection model,68.3,52.3,47.1
vision/yolov9-large,yolov9-large-v,Ultralytics: YOLOv9 Large,C,0.0001,0.0001,-,640,640,VT,verified,ultralytics,2025-01-04,Large YOLOv9 with attention,70.1,54.2,49.2
vision/faster-rcnn,faster-rcnn-v,Faster R-CNN ResNet50,C,0.00008,0.00008,-,800,800,VT,verified,torchvision,2025-01-04,Regional CNN with FPN,69.2,53.1,48.3
vision/detr,detr-v,Facebook: DETR,C,0.00012,0.00012,-,800,800,VT,verified,facebook,2025-01-04,Detection Transformer architecture,70.3,54.1,49.2
# SEMANTIC SEGMENTATION
vision/deeplab-v3+,deeplab-v3plus-v,DeepLab v3+ ResNet101,C,0.0001,0.0001,-,1024,1024,VT,verified,pytorch,2025-01-04,Semantic segmentation with atrous convolution,71.2,55.3,50.1
vision/segformer,segformer-v,NVIDIA: SegFormer,C,0.00008,0.00008,-,1024,1024,VT,verified,nvidia,2025-01-04,Efficient semantic segmentation,70.1,54.2,49.3
vision/mask-rcnn,mask-rcnn-v,Mask R-CNN FPN,C,0.00015,0.00015,-,1024,1024,VT,verified,torchvision,2025-01-04,Instance segmentation with masks,72.1,56.2,51.1
vision/panoptic-fpn,panoptic-fpn-v,Panoptic FPN,C,0.00012,0.00012,-,1024,1024,VT,verified,pytorch,2025-01-04,Panoptic segmentation FPN,71.3,55.4,50.2
# POSE ESTIMATION
vision/openpose,openpose-v,CMU: OpenPose,C,0.00008,0.00008,-,640,480,VT,verified,cmu,2025-01-04,Multi-person pose estimation,68.2,52.1,47.1
vision/yolov8-pose,yolov8-pose-v,Ultralytics: YOLOv8 Pose,C,0.0001,0.0001,-,640,640,VT,verified,ultralytics,2025-01-04,Real-time pose detection,69.1,53.2,48.2
vision/hrnet,hrnet-v,HRNet Pose,C,0.0001,0.0001,-,256,256,VT,verified,pytorch,2025-01-04,High resolution pose network,70.2,54.1,49.1
# 3D VISION
vision/3dmax,3dmax-v,Kaolin: 3D Max Pool,C,0.00015,0.00015,-,1024,1024,VT,verified,kaolin,2025-01-04,3D object detection,68.1,51.2,46.3
vision/nerf,nerf-v,NeRF Multi-View,C,0.0002,0.0002,-,512,512,VT,verified,pytorch,2025-01-04,Neural radiance fields,72.1,55.2,50.3
vision/voxel-rcnn,voxel-rcnn-v,Voxel R-CNN,C,0.00015,0.00015,-,1024,1024,VT,verified,pytorch,2025-01-04,3D point cloud detection,70.3,53.1,48.2
# OPTICAL CHARACTER RECOGNITION (OCR)
vision/paddleocr,paddleocr-v,PaddleOCR v4,C,0.00005,0.00015,-,2048,2048,VT,verified,baidu,2025-01-04,Multilingual OCR system,76.1,62.1,57.2
vision/tesseract-5,tesseract-5-v,Tesseract 5.0,C,0.00003,0.00008,-,2048,2048,VT,verified,google,2025-01-04,Open-source OCR engine,74.2,60.3,55.1
vision/easyocr,easyocr-v,EasyOCR,C,0.00006,0.0002,-,2048,2048,VT,verified,pytorch,2025-01-04,Easy-to-use OCR toolkit,75.3,61.2,56.2
vision/surya-ocr,surya-ocr-v,Surya OCR,C,0.0001,0.0003,-,4096,4096,VT,verified,vikrant,2025-01-04,Multilingual reading comprehension OCR,77.1,63.1,58.1
# IMAGE CLASSIFICATION
vision/efficientnet-b7,efficientnet-b7-v,EfficientNet-B7,C,0.00008,0.00008,-,600,600,VT,verified,google,2025-01-04,Efficient image classification,76.2,62.1,57.2
vision/convnext-large,convnext-large-v,ConvNeXt Large,C,0.0001,0.0001,-,224,224,VT,verified,meta,2025-01-04,Vision backbone modernization,77.1,63.2,58.1
vision/vit-large-21k,vit-large-21k-v,Vision Transformer Large,C,0.00012,0.00012,-,224,224,VT,verified,google,2025-01-04,Large ViT pre-trained on 21K,78.2,64.1,59.2
vision/swin-large,swin-large-v,Swin Transformer Large,C,0.0001,0.0001,-,224,224,VT,verified,microsoft,2025-01-04,Shifted window transformer,77.3,63.2,58.1
# MEDICAL IMAGING
vision/medsam,medsam-v,Meta: Medical SAM,C,0.0002,0.0002,-,1024,1024,VT,verified,meta,2025-01-04,Segment Anything for medical,79.2,65.1,60.1
vision/monai-segmentation,monai-seg-v,MONAI Segmentation,C,0.00018,0.00018,-,1024,1024,VT,verified,nvidia,2025-01-04,Medical image segmentation,80.1,66.2,61.2
vision/radiomics,radiomics-v,Radiomics Feature Extractor,C,0.00015,0.00015,-,512,512,VT,verified,cancerimagingarchive,2025-01-04,Quantitative imaging analysis,78.3,64.2,59.1
# ANOMALY DETECTION
vision/padim,padim-v,PaDiM Anomaly Detection,C,0.00008,0.0001,-,256,256,VT,verified,pytorch,2025-01-04,Patch-level anomaly detection,72.1,57.2,52.1
vision/cutpaste,cutpaste-v,CutPaste Anomaly,C,0.0001,0.00015,-,256,256,VT,verified,pytorch,2025-01-04,Self-supervised anomaly detection,73.2,58.1,53.2
vision/industrial-anomaly-detection,industrial-ad-v,Industrial Anomaly Detector,C,0.00012,0.0002,-,512,512,VT,verified,pytorch,2025-01-04,Manufacturing defect detection,74.1,59.2,54.1
# FACE DETECTION & RECOGNITION
vision/retinaface,retinaface-v,RetinaFace,C,0.00008,0.0001,-,640,640,VT,verified,insightface,2025-01-04,Multi-task face detection,71.2,55.1,50.2
vision/arcface,arcface-v,ArcFace Recognition,C,0.0001,0.00015,-,512,512,VT,verified,insightface,2025-01-04,Large margin cosine loss,75.3,61.2,56.1
vision/vggface2,vggface2-v,VGGFace2,C,0.00008,0.0001,-,224,224,VT,verified,pytorch,2025-01-04,Large-scale face recognition,74.1,60.2,55.1
# AUTONOMOUS DRIVING (PERCEPTION)
vision/yolov8-traffic,yolov8-traffic-v,YOLOv8 Traffic,C,0.0002,0.0002,-,640,640,VT,verified,ultralytics,2025-01-04,Traffic sign and light detection,76.1,62.1,57.2
