id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
groq/mixtral-8x7b-32768,mixtral-8x7b|mixtral-8x7b-groq,Groq: Mixtral 8x7b,C,0.00000027,0.00000081,-,32768,4096,JT,verified,groq,2025-01-04,Mixtral 8x7b mixture of experts model optimized for Groq LPU - ultra-fast inference,68.4,73.0,42.5
groq/mixtral-8x7b-instruct,mixtral-8x7b-instruct|mixtral-8x7b-inst,Groq: Mixtral 8x7b Instruct,C,0.00000027,0.00000081,-,32768,4096,JT,verified,groq,2025-01-04,Instruction-tuned Mixtral 8x7b for Groq LPU - optimized for chat and instruction following,68.0,72.5,41.8
groq/mixtral-8x22b-32768,mixtral-8x22b|mixtral-8x22b-groq,Groq: Mixtral 8x22b,C,0.00000054,0.00000162,-,32768,4096,JT,verified,groq,2025-01-04,Larger Mixtral 8x22b with increased model depth - exceptional performance on Groq LPU,75.2,78.0,51.3
groq/mixtral-8x22b-instruct,mixtral-8x22b-instruct|mixtral-8x22b-inst,Groq: Mixtral 8x22b Instruct,C,0.00000054,0.00000162,-,32768,4096,JT,verified,groq,2025-01-04,Instruction-tuned Mixtral 8x22b - optimal for complex reasoning on Groq LPU,75.0,77.8,51.0
groq/llama2-70b-4096,llama-70b|llama2-70b-groq,Groq: Llama 2 70B,C,0.00000081,0.00000243,-,4096,2048,JT,verified,groq,2025-01-04,Meta Llama 2 70B parameter model optimized for Groq LPU fast inference,69.8,74.3,44.2
groq/llama2-70b-chat,llama-70b-chat|llama2-70b-chat-groq,Groq: Llama 2 70B Chat,C,0.00000081,0.00000243,-,4096,2048,JT,verified,groq,2025-01-04,Instruction and chat-optimized Llama 2 70B - excellent for conversational AI on Groq,69.5,74.0,43.9
groq/gemma-7b-it,gemma-7b|gemma-7b-it-groq,Groq: Gemma 7B Instruct,C,0.00000007,0.00000021,-,8192,2048,JT,verified,groq,2025-01-04,Google Gemma 7B instruction-tuned model - lightweight and fast on Groq LPU,52.3,68.9,24.1
groq/whisper-large-v3,whisper-large|whisper-v3-groq,Groq: Whisper Large v3,C,0.00000001,0.00000001,-,448,2048,V,verified,groq,2025-01-04,OpenAI Whisper large v3 speech recognition - optimized for Groq LPU,95.0,-,-
groq/distil-whisper-large-v3-en,distil-whisper|distil-whisper-v3-groq,Groq: Distil Whisper Large v3 EN,C,0.00000000,0.00000000,-,448,2048,V,verified,groq,2025-01-04,Distilled Whisper model for English speech - ultra-lightweight on Groq LPU,92.5,-,-
groq/deepseek-r1-distill-llama-70b,deepseek-r1-70b|deepseek-r1-llama-groq,Groq: DeepSeek-R1 Distill Llama 70B,C,0.00000081,0.00000243,-,64000,8000,KJT,verified,groq,2025-01-04,DeepSeek R1 distilled to Llama 70B - reasoning capabilities on Groq LPU,76.5,79.2,58.3
groq/t5-base,t5-base|t5-base-groq,Groq: T5 Base,C,0.00000003,0.00000009,-,512,768,JT,verified,groq,2025-01-04,Google T5 base text-to-text transfer transformer - lightweight sequence tasks,50.2,45.3,18.9
