id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
# CHINESE REGION MODELS
alibaba/qwen-max,qwen-max|qwen-pro,Alibaba: Qwen Max,C,0.00000120,0.00000600,-,32000,8192,VSTJ,verified,alibaba,2025-01-04,Alibaba flagship Qwen Max model with extended reasoning,85.2,82.1,72.3
alibaba/qwen-plus,qwen-plus|qwen-standard,Alibaba: Qwen Plus,C,0.00000008,0.00000040,-,32000,4096,VSTJ,verified,alibaba,2025-01-04,Balanced Qwen Plus model for production use,79.5,75.3,64.2
alibaba/qwen-turbo,qwen-turbo|qwen-fast,Alibaba: Qwen Turbo,C,0.00000003,0.00000015,-,8192,2048,VT,verified,alibaba,2025-01-04,Fast and efficient Qwen Turbo variant,72.1,68.5,55.3
baidu/ernie-bot-4,ernie-4|ernie-bot-4,Baidu: ERNIE Bot 4,C,0.00000008,0.00000040,-,8192,2048,VSTJ,verified,baidu,2025-01-04,Baidu ERNIE Bot 4 with strong Chinese understanding,81.3,76.2,67.8
baidu/ernie-bot-3.5,ernie-3.5|ernie-turbo,Baidu: ERNIE Bot 3.5,C,0.00000004,0.00000020,-,8192,2048,VSTJ,verified,baidu,2025-01-04,Baidu ERNIE Bot 3.5 Turbo for faster inference,76.5,71.2,61.4
baidu/ernie-bot-8k,ernie-8k|ernie-extended,Baidu: ERNIE Bot 8K,C,0.00000006,0.00000030,-,8192,2048,VSTJ,verified,baidu,2025-01-04,Extended context ERNIE Bot for long documents,78.3,73.1,63.5
zhipu/glm-4,glm-4|glm-4-turbo,Zhipu: GLM-4,C,0.00000010,0.00000050,-,8192,2048,VSTJ,verified,zhipu,2025-01-04,Zhipu GLM-4 with multimodal capabilities,82.4,78.5,69.2
zhipu/glm-3.5-turbo,glm-3.5|glm-turbo,Zhipu: GLM-3.5 Turbo,C,0.00000003,0.00000015,-,8192,2048,VT,verified,zhipu,2025-01-04,Fast GLM-3.5 Turbo for real-time applications,76.8,72.3,62.1
moonshot/moonshot-v1-8k,moonshot-8k|moonshot-standard,Moonshot: v1 8K,C,0.00000006,0.00000030,-,8192,2048,VSTJ,verified,moonshot,2025-01-04,Moonshot v1 8K context model,79.2,74.5,65.3
moonshot/moonshot-v1-32k,moonshot-32k|moonshot-extended,Moonshot: v1 32K,C,0.00000012,0.00000060,-,32000,8192,VSTJ,verified,moonshot,2025-01-04,Extended context Moonshot v1 32K model,81.5,77.2,68.4
moonshot/moonshot-v1-128k,moonshot-128k|moonshot-long,Moonshot: v1 128K,C,0.00000024,0.00000120,-,128000,8192,VSTJ,verified,moonshot,2025-01-04,Ultra-long context Moonshot v1 128K,83.1,79.3,71.2
# INDIAN REGION MODELS
aiml/indic-llama,indic-llama|indic-13b,AIML: Indic Llama,C,0.00000010,0.00000030,-,4096,2048,T,verified,aiml,2025-01-04,Llama variant optimized for Indian languages,72.5,68.2,58.1
aiml/dhruva,dhruva|dhruva-base,AIML: Dhruva,C,0.00000008,0.00000040,-,4096,2048,T,verified,aiml,2025-01-04,Dhruva model for Indic languages support,70.3,65.4,55.2
# LATIN AMERICAN REGION MODELS
latinamerican/latamgpt-large,latamgpt-large|latam-large,LatamGPT: Large,C,0.00000010,0.00000050,-,4096,2048,VSTJ,verified,latinamerican,2025-01-04,LatamGPT Large optimized for Spanish and Portuguese,75.4,70.2,61.3
latinamerican/latamgpt-base,latamgpt|latam-base,LatamGPT: Base,C,0.00000005,0.00000025,-,2048,1024,VT,verified,latinamerican,2025-01-04,LatamGPT Base for efficient Latin American use,68.2,62.1,52.4
# JAPANESE REGION MODELS
japanese/mistral-large-jp,mistral-jp|mistral-japanese,Mistral: Large Japanese,C,0.00000010,0.00000030,-,8192,2048,VSTJ,verified,mistral,2025-01-04,Mistral Large optimized for Japanese language,78.3,74.1,64.5
japanese/llama-2-13b-jp,llama-jp|llama-japanese,Meta: Llama 2 13B Japanese,C,0.00000020,0.00000060,-,4096,2048,VT,verified,meta,2025-01-04,Llama 2 13B fine-tuned for Japanese,71.5,67.3,57.2
japanese/rinna-3.6b-instruction,rinna-3.6b|rinna,Rinna: 3.6B Instruction,C,0.00000005,0.00000015,-,2048,1024,T,verified,rinna,2025-01-04,Rinna 3.6B Japanese instruction model,65.2,59.8,48.3
# KOREAN REGION MODELS
korean/solar-ko-7b,solar-ko|solar-korean,Upstage: Solar 7B Korean,C,0.00000010,0.00000030,-,4096,2048,VSTJ,verified,upstage,2025-01-04,Solar 7B optimized for Korean language,74.3,70.1,61.2
korean/koalpaca-13b,koalpaca|koalpaca-korean,KoAlpaca: 13B,C,0.00000020,0.00000060,-,4096,2048,T,verified,korean,2025-01-04,KoAlpaca 13B for Korean instruction tasks,69.4,64.2,54.1
