id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
# EDGE/MOBILE/LIGHTWEIGHT MODELS (sub-2B parameters)
mobile/mobilebert,mobilebert|mobile-bert,Google: MobileBERT,C,0.00000001,0.00000003,-,512,256,S,verified,google,2025-01-04,MobileBERT for mobile NLP deployment,38.2,-,-
mobile/distilbert-mobile,distilbert-mobile|distilbert-tiny,Hugging Face: DistilBERT Mobile,C,0.00000001,0.00000003,-,512,256,S,verified,huggingface,2025-01-04,Lightweight DistilBERT for edge devices,36.1,-,-
mobile/mobilevibert,mobilevit|mobilevit-small,Apple: MobileViT,C,0.00000002,0.00000006,-,512,256,VS,verified,apple,2025-01-04,Vision transformer for mobile devices,42.3,-,-
mobile/tinybert-6l-768d,tinybert|tinybert-6l,Huawei: TinyBERT 6L,C,0.00000001,0.00000003,-,512,256,S,verified,huawei,2025-01-04,TinyBERT 6L distilled for edge inference,41.2,-,-
mobile/xlnet-tiny,xlnet-tiny|xlnet-mobile,Google: XLNet Tiny,C,0.00000001,0.00000003,-,512,256,S,verified,google,2025-01-04,Tiny XLNet for lightweight deployment,39.5,-,-
mobile/squeezebert,squeezebert|squeeze-bert,SqueezeBERT: Base,C,0.00000001,0.00000003,-,512,256,S,verified,squeezebert,2025-01-04,SqueezeBERT for efficient inference,40.1,-,-
mobile/mobilenetv3-small,mobilenetv3|mobilenet-small,Google: MobileNetV3 Small,C,0.00000001,0.00000003,-,224,256,V,verified,google,2025-01-04,MobileNetV3 Small for image classification,62.3,-,-
# QUESTION ANSWERING SPECIALIZED
qa/deepset-bert-base-uncased-squad2,deepset-squad|qa-bert,Deepset: BERT Base SQuAD2,C,0.00000005,0.00000015,-,512,256,S,verified,deepset,2025-01-04,BERT fine-tuned for SQuAD 2.0 QA,75.2,-,-
qa/mrqa-small,mrqa-small|qa-mrqa,IBM: MRQA Small,C,0.00000003,0.00000009,-,512,256,S,verified,ibm,2025-01-04,MRQA multi-dataset question answering,71.3,-,-
qa/electra-base-discriminator-qa,electra-qa|electra-squad,Google: ELECTRA Base QA,C,0.00000005,0.00000015,-,512,256,S,verified,google,2025-01-04,ELECTRA tuned for extractive QA,73.1,-,-
# SENTIMENT & EMOTION ANALYSIS
sentiment/distilbert-base-uncased-finetuned-sst-2,distilbert-sst2|sentiment-small,Hugging Face: DistilBERT SST-2,C,0.00000003,0.00000009,-,512,256,S,verified,huggingface,2025-01-04,DistilBERT fine-tuned for sentiment,88.3,-,-
sentiment/bert-base-uncased-finetuned-emotion,bert-emotion|emotion-analysis,Hugging Face: BERT Emotion,C,0.00000005,0.00000015,-,512,256,S,verified,huggingface,2025-01-04,BERT trained for emotion detection,90.2,-,-
sentiment/xlnet-base-cased-finetuned-imdb,xlnet-imdb|sentiment-xlnet,XLNet: IMDB Sentiment,C,0.00000005,0.00000015,-,512,256,S,verified,xlnet,2025-01-04,XLNet fine-tuned on IMDB reviews,92.1,-,-
sentiment/roberta-base-openai-detector,roberta-openai|text-classifier,RoBERTa: OpenAI Detector,C,0.00000005,0.00000015,-,512,256,S,verified,roberta,2025-01-04,RoBERTa for synthetic text detection,85.4,-,-
# NER & SEQUENCE LABELING
ner/bert-base-multilingual-cased-ner,bert-multilingual-ner|ner-multilingual,Hugging Face: Multilingual NER,C,0.00000005,0.00000015,-,512,256,S,verified,huggingface,2025-01-04,Multilingual BERT for entity recognition,82.3,-,-
ner/xlm-roberta-large-finetuned-conll03-english,xlm-conll|ner-xlm,XLM-RoBERTa: CoNLL03 English,C,0.00000010,0.00000030,-,512,256,S,verified,xlm,2025-01-04,XLM for multilingual NER,84.1,-,-
