"Model ID","Name","Status","Our Flags","Actual Flags","Issues","Severity"
"anthropic/claude-opus-4-5-20251101","Claude Opus 4.5","CORRECT","VTJSKC","VTJSKC","None","NONE"
"anthropic/claude-sonnet-4-5-20250929","Claude Sonnet 4.5","CORRECT","VTJSKC","VTJSKC","None","NONE"
"anthropic/claude-haiku-4-5-20251001","Claude Haiku 4.5","CORRECT","VTJSKC","VTJSKC","None","NONE"
"anthropic/claude-3-7-sonnet-20250219","Claude 3.7 Sonnet","CORRECT","VTJSKC","VTJSKC","None","NONE"
"anthropic/claude-3-5-sonnet-20241022","Claude 3.5 Sonnet","CORRECT","VTJSC","VTJSC","None - does not have thinking (K) as expected for older version","NONE"
"anthropic/claude-3-5-haiku-20241022","Claude 3.5 Haiku","CORRECT","VTJSC","VTJSC","None - older version lacks thinking","NONE"
"anthropic/claude-3-haiku-20240307","Claude 3 Haiku","CORRECT","VTJC","VTJC","None - deprecated model","NONE"
"openai/gpt-4o","GPT-4o","CORRECT","VTJS","VTJS","None - correctly lacks K (thinking) and C (caching)","NONE"
"openai/gpt-4o-mini","GPT-4o Mini","CORRECT","VTJS","VTJS","None - correctly lacks K and C","NONE"
"openai/gpt-4.1","GPT-4.1","CORRECT","VTJS","VTJS","None - correctly lacks K and C","NONE"
"openai/gpt-4.1-mini","GPT-4.1 Mini","CORRECT","VTJS","VTJS","None - correctly lacks K and C","NONE"
"openai/o1","o1","CORRECT","JSK","JSK","None - correctly has K (thinking) and S, but no V (vision) or T (tools)","NONE"
"openai/o1-mini","o1-mini","CORRECT","JSK","JSK","None - correctly has K","NONE"
"openai/o3","o3","CORRECT","JSK","JSK","None - correctly has K","NONE"
"openai/o3-mini","o3-mini","CORRECT","JSK","JSK","None - correctly has K","NONE"
"google/gemini-3-pro","Gemini 3 Pro","CORRECT","VTJSKC","VTJSKC","None - correctly has K (thinking) with deep think support","NONE"
