Model ID,Model Name,Description,Issue Found?,Specific Issue,Severity
deepseek/deepseek-reasoner,DeepSeek R1,Advanced reasoning with 71% AIME pass rate,YES,"HALLUCINATED STATISTIC: Description claims 71% AIME pass rate, but official sources show 79.8% Pass@1 on AIME 2024, and newer R1-0528 achieves 87.5% on AIME 2025. The 71% figure appears to be made up or from an intermediate version.",High
mistral/mistral-large-2512,Mistral Large 3,675B MoE flagship with EU regional support,YES,"PARTIALLY ACCURATE BUT MISLEADING: Model has 675B total parameters but only 41B ACTIVE parameters (Mixture of Experts). Description omits active parameters entirely, which is critical information. Also, ""2512"" in model ID suggests 2025-12, but description uses ""Mistral Large 3"" which may not match official naming.",High
cohere/command-r-08-2024,Command R,32B affordable,YES,"HALLUCINATED PARAMETER COUNT: Command R is 104B parameters, not 32B. The description appears to have confused parameter sizes or fabricated the 32B claim. This is a factual error.",Critical
cohere/command-r-plus-08-2024,Command R+,Enterprise RAG,PARTIAL,"MISSING CRITICAL SPECS: Description is extremely vague and omits that Command R+ is 104B parameters. While ""Enterprise RAG"" is accurate (model supports RAG), the description fails to mention model size, making it incomplete and insufficiently descriptive.",Medium
anthropic/claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,Hybrid reasoning model,PARTIAL,"INCOMPLETE DESCRIPTION: While ""hybrid reasoning"" is technically correct (it can do both standard and extended thinking), the description omits key features: it's the first hybrid reasoning model from Anthropic, supports up to 128K output tokens, and allows users to control thinking budget. The description undersells the model's capabilities.",Medium
google/gemini-3-pro,Gemini 3 Pro,Latest flagship with deep think reasoning,PARTIAL,"VAGUE/POTENTIALLY INACCURATE: Description says ""deep think reasoning"" but official Google documentation emphasizes ""thinking_level parameter"" for controlling reasoning depth, not ""deep think"" as a fixed feature. Also uses ""deep think"" which is not official Google terminology; they use ""extended thinking"".",Low
google/gemini-3-flash,Gemini 3 Flash,High-speed reasoning with deep think,PARTIAL,"TERMINOLOGY ISSUE: Uses unofficial term ""deep think"" instead of official Google term ""extended thinking"". While the capability exists, the terminology is inaccurate to official documentation.",Low
google/gemini-2.0-flash,Gemini 2.0 Flash,Ultra-fast multimodal with extended thinking,PARTIAL,"CONTRADICTION: Description claims ""extended thinking"" support, but Gemini 2.0 Flash primarily focuses on speed, not extended thinking. Extended thinking (experimental) is available on other Gemini models but not standard on 2.0 Flash.",Medium
ai21/jamba-2.0-large,Jamba 2.0 Large,256K hybrid SSM,PARTIAL,"INCOMPLETE BUT TECHNICALLY CORRECT: Description mentions ""256K"" context and ""hybrid SSM"" which are accurate. However, it omits important specs: actual parameters (not disclosed in benchmarks) and that it's an SSM-Transformer hybrid. Information is sparse but not false.",Low
sea-lion/Qwen-SEA-LION-v4-32B-IT,SEA-LION v4 32B,11 SEA languages,PARTIALLY CORRECT,"TECHNICALLY CORRECT BUT MISLEADING: SEA-LION v3 supports 13 languages (11 in pre-training + 2 in SFT). The description claims 11, which is incomplete for v3. For v4, the exact language count may differ. Description is too sparse and potentially understates capabilities.",Low
